x_mm,y_mm,z_mm,status,reason,theta1_deg,theta2_deg,theta3_deg,fk_x_mm,fk_y_mm,fk_z_mm,roundtrip_error_mm,fk_iterations,fk_max_residual_mm2
-30.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
-15.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
0.0,-30.0,-260.0,ok,ok,12.231619559071499,2.6397642248011772,2.6397642248011772,3.443151727440768e-15,-30.000000000018602,-260.0000000001653,1.6634405194454333e-10,5,9.125506039708853e-08
15.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
30.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
-30.0,-15.0,-260.0,fail,ik_reject,,,,,,,,,
-15.0,-15.0,-260.0,ok,ok,9.467055327370591,1.855398227324331,7.4401326484549015,-15.00000000000018,-14.999999999999845,-260.0000000000058,5.802862165792067e-12,5,3.128661774098873e-09
0.0,-15.0,-260.0,ok,ok,9.665848247955193,4.851728798573467,4.851728798573467,4.576818214922479e-15,-14.999999999999224,-260.00000000000114,1.3766199792301736e-12,5,4.94765117764473e-10
15.0,-15.0,-260.0,ok,ok,9.467055327370591,7.4401326484549015,1.855398227324331,15.00000000000018,-14.999999999999845,-260.0000000000058,5.802862165792067e-12,5,3.128661774098873e-09
30.0,-15.0,-260.0,fail,ik_reject,,,,,,,,,
-30.0,0.0,-260.0,ok,ok,5.865548327025965,0.2768155024743426,11.389622922314494,-30.000000000019522,3.5907474910112924e-13,-260.000000000165,1.6616759863358478e-10,5,9.125506039708853e-08
-15.0,0.0,-260.0,ok,ok,6.463229874759381,3.6697959364535673,9.23890201262256,-14.99999999999982,6.076744467863049e-14,-260.000000000001,1.0405680301988113e-12,5,4.802132025361061e-10
0.0,0.0,-260.0,ok,ok,6.662594001340408,6.662594001340408,6.662594001340408,2.867842991105292e-17,-7.105427357601002e-15,-259.9999999999999,1.139086695187313e-13,5,4.3655745685100555e-11
15.0,0.0,-260.0,ok,ok,6.463229874759381,9.23890201262256,3.6697959364535673,14.99999999999982,6.076744467863049e-14,-260.000000000001,1.0405680301988113e-12,5,4.802132025361061e-10
30.0,0.0,-260.0,ok,ok,5.865548327025965,11.389622922314494,0.2768155024743426,30.000000000019522,3.5907474910112924e-13,-260.000000000165,1.6616759863358478e-10,5,9.125506039708853e-08
-30.0,15.0,-260.0,ok,ok,2.4408344266601425,1.6915749868586718,12.760163665154863,-30.000000000003208,15.000000000001542,-260.0000000000251,2.5375666003399143e-11,5,1.3998942449688911e-08
