x_mm,y_mm,z_mm,status,reason,theta1_deg,theta2_deg,theta3_deg,fk_x_mm,fk_y_mm,fk_z_mm,roundtrip_error_mm,fk_iterations,fk_max_residual_mm2
10.0,-10.0,-265.0,ok,ok,6.187070462788998,4.855687340771136,1.2045112651959096,9.999999999999652,-9.999999999999616,-264.99999999999994,5.212207536002696e-13,4,0.0
15.0,-10.0,-265.0,ok,ok,6.078918526927124,5.657324997895616,0.1830248093617209,15.00000000000175,-10.000000000001963,-264.99999999999886,2.864757501321233e-12,4,5.820766091346741e-11
20.0,-10.0,-265.0,fail,ik_reject,,,,,,,,,
25.0,-10.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,-10.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,-5.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,-5.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,-5.0,-265.0,fail,ik_reject,,,,,,,,,
-15.0,-5.0,-265.0,ok,ok,5.094093111842105,0.775148280714616,6.246603686938493,-15.000000000006711,-4.9999999999955165,-264.9999999999982,8.273406722604387e-12,4,1.4551915228366852e-11
-10.0,-5.0,-265.0,ok,ok,5.202337197886498,1.7969399548589748,5.446148753640988,-9.999999999999183,-5.000000000000585,-265.0000000000004,1.0810211432163704e-12,4,4.3655745685100555e-11
-5.0,-5.0,-265.0,ok,ok,5.267289535890367,2.775485027845966,4.600561484461835,-4.999999999999283,-5.0000000000015765,-265.00000000000455,4.866072860017811e-12,4,2.5902409106492996e-09
0.0,-5.0,-265.0,ok,ok,5.2889413150378415,3.710195914182937,3.710195914182937,-3.5526752131162807e-15,-4.999999999998769,-265.0000000000141,1.4150814585417054e-11,4,7.523340173065662e-09
5.0,-5.0,-265.0,ok,ok,5.267289535890367,4.600561484461835,2.775485027845966,4.999999999999283,-5.0000000000015765,-265.00000000000455,4.866072860017811e-12,4,2.5902409106492996e-09
10.0,-5.0,-265.0,ok,ok,5.202337197886498,5.446148753640988,1.7969399548589748,9.999999999999183,-5.000000000000585,-265.0000000000004,1.0810211432163704e-12,4,4.3655745685100555e-11
15.0,-5.0,-265.0,ok,ok,5.094093111842105,6.246603686938493,0.775148280714616,15.000000000006711,-4.9999999999955165,-264.9999999999982,8.273406722604387e-12,4,1.4551915228366852e-11
20.0,-5.0,-265.0,fail,ik_reject,,,,,,,,,
25.0,-5.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,-5.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,0.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,0.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,0.0,-265.0,ok,ok,3.91204425621801,0.25938885745619783,7.5453160863654745,-20.000000000000238,-5.683507321458531e-13,-265.0000000000079,7.925225531697279e-12,4,4.4674379751086235e-09
-15.0,0.0,-265.0,ok,ok,4.063634308010771,1.3241972467051377,6.791787121300214,-14.999999999986525,-8.117061215610465e-12,-265.00000000000654,1.7035449101098447e-11,3,1.0186340659856796e-09
-10.0,0.0,-265.0,ok,ok,4.171927392187495,2.3460794402144667,5.992638834512566,-10.00000000000252,1.2823258554723986e-12,-264.99999999999966,2.8485715869474288e-12,4,1.7462298274040222e-10
-5.0,0.0,-265.0,ok,ok,4.236909220666538,3.3243930608695145,5.148123025643353,-5.000000000000493,4.369824001346917e-13,-265.0000000000135,1.3487986133800282e-11,4,7.508788257837296e-09
0.0,0.0,-265.0,ok,ok,4.2585708452708735,4.2585708452708735,4.2585708452708735,-3.330607835811988e-15,7.050891988324981e-15,-265.0000000000348,3.4788173216790076e-11,4,1.900480128824711e-08
5.0,0.0,-265.0,ok,ok,4.236909220666538,5.148123025643353,3.3243930608695145,5.000000000000493,4.369824001346917e-13,-265.0000000000135,1.3487986133800282e-11,4,7.508788257837296e-09
10.0,0.0,-265.0,ok,ok,4.171927392187495,5.992638834512566,2.3460794402144667,10.00000000000252,1.2823258554723986e-12,-264.99999999999966,2.8485715869474288e-12,4,1.7462298274040222e-10
15.0,0.0,-265.0,ok,ok,4.063634308010771,6.791787121300214,1.3241972467051377,14.999999999986525,-8.117061215610465e-12,-265.00000000000654,1.7035449101098447e-11,3,1.0186340659856796e-09
20.0,0.0,-265.0,ok,ok,3.91204425621801,7.5453160863654745,0.25938885745619783,20.000000000000238,-5.683507321458531e-13,-265.0000000000079,7.925225531697279e-12,4,4.4674379751086235e-09
