time,sim_x,sim_y,sim_z
0,0,0,-263.277315152675
109,-2.40493686094373e-16,3.53548806138829e-15,-263.277315151788
203,-4.47891910799612e-16,6.58444106845709e-15,-263.277315151023
312,-6.88385596893985e-16,1.01199291298454e-14,-263.277315150136
406,-8.95783821599224e-16,1.31688821369142e-14,-263.277315149371
516,-1.13848387178621e-15,1.67368058685904e-14,-263.277315148476
609,-1.34367573239884e-15,1.97533232053713e-14,-263.277315147719
703,-1.58586315357603e-15,2.26975379236292e-14,-263.277315146976
812,-3.24129057677605e-15,2.19731478206946e-14,-263.277315146976
906,-4.66890688669167e-15,2.13484444291731e-14,-263.277315146976
1016,-6.33952171744399e-15,2.06174085454777e-14,-263.277315146976
1109,-7.75195061980731e-15,1.9999350934717e-14,-263.277315146976
1203,-9.17956692972292e-15,1.93746475431955e-14,-263.277315146976
1312,-1.08349943529229e-14,1.86502574402609e-14,-263.277315146976
1406,-1.17958617615436e-14,1.82776539870208e-14,-263.277315146976
1516,-3.88767451348053e-15,2.27203108665641e-14,-263.277315146976
1609,2.79833834170002e-15,2.64763753192689e-14,-263.277315146976
1703,9.55624380822661e-15,3.02728275617877e-14,-263.277315146976
1859,2.07714911782069e-14,3.65733227727763e-14,-263.277315146976
1922,2.53007256930066e-14,3.91177535310602e-14,-263.277315146976
2016,3.20586311595332e-14,4.2914205773579e-14,-263.277315146976
2109,3.78720855753478e-14,4.64456538232921e-14,-263.277315146976
2203,3.44284371487898e-14,4.76159938915306e-14,-263.277315146976
2328,2.98491174326223e-14,4.91722971737626e-14,-263.277315146976
2406,2.69916219297338e-14,5.01434304218754e-14,-263.277315146976
2516,2.29618205795063e-14,5.15129773102395e-14,-263.277315146976
2609,1.95548067106777e-14,5.26708669522202e-14,-263.277315146976
2703,1.61111582841198e-14,5.38412070204587e-14,-263.277315146976
2812,1.1236337590489e-14,5.46232699704391e-14,-263.277315146976
2906,6.17687622079669e-17,5.07513385704099e-14,-263.277315146976
3016,-1.30148543347166e-14,4.62203550171842e-14,-263.277315146976
3109,-2.40705447712074e-14,4.23896143767297e-14,-263.277315146976
3203,-3.52451135994884e-14,3.85176829767005e-14,-263.277315146976
3312,-4.82028583046228e-14,3.40278901830496e-14,-263.277315146976
3422,-6.12794814015474e-14,2.94969066298239e-14,-263.277315146976
3516,-6.96909484227932e-14,2.56932785814367e-14,-263.277315146976
3609,-6.29016063555149e-14,2.23036637536708e-14,-263.277315146976
3703,-5.60392606100939e-14,1.88776014546385e-14,-263.277315146976
3812,-4.80818596925312e-14,1.49048270866117e-14,-263.277315146976
3906,-4.12195139471101e-14,1.14787647875795e-14,-263.277315146976
4016,-3.31891093514047e-14,7.46954294828638e-15,-263.277315146976
4109,-2.63997672841264e-14,4.07992812052042e-15,-263.277315146976
4203,-1.96298431076936e-14,7.58590328678948e-16,-263.277315146976
4312,-2.10001746157942e-14,7.35523381601204e-15,-263.277315146976
4406,-2.21819283934223e-14,1.3044082328024e-14,-263.277315146976
4531,-2.37534094806936e-14,2.06090404556996e-14,-263.277315146976
4609,-2.47340136791509e-14,2.53295743273692e-14,-263.277315146976
4703,-2.59157674567789e-14,3.10184228393812e-14,-263.277315146976
4812,-2.72860989648795e-14,3.76150663267143e-14,-263.277315146976
4906,-0.000321205133471798,-0.000338169624006972,-263.277267472917
5000,31.0415433509193,32.9218948987537,-264.055542333848
5109,39.3861730644168,41.8848679539074,-262.938042183641
5203,39.389305865027,41.8882451298381,-262.937509693872
5312,39.3896349039338,41.8885998361588,-262.937453760996
5406,39.3889540755322,41.8878658981443,-262.937569494747
5516,39.3888429130113,41.887746064141,-262.93758839113
5625,39.3897220142257,41.8886937418068,-262.937438952167
5703,39.3888741082772,41.8877796928645,-262.937583088281
