time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-263.277315152675,-3.894,1.43,5.69900748814689e-09
100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.20749884116515e-15,1.22470012661965e-15,-263.27731515204,-3.89360338099194,1.38240571903265,5.0640096560528e-09
200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.4149976823303e-15,2.4494002532393e-15,-263.277315151405,-3.89311409703431,1.32369164411695,4.42901182395872e-09
300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.62249652349545e-15,3.67410037985894e-15,-263.277315150771,-3.8939091929078,1.41910314893683,3.79503717340413e-09
400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.82999536466061e-15,4.89880050647859e-15,-263.277315150136,-3.894,1.43,3.16003934131004e-09
500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.03749420582576e-15,6.12350063309824e-15,-263.277315149502,-3.89399999999999,1.42999999999999,2.52600784733659e-09
600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-7.24499304699091e-15,7.34820075971789e-15,-263.277315148867,-3.89399999999999,1.42999999999999,0
700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-8.45249188815606e-15,8.57290088633753e-15,-263.277315148232,-3.89399999999999,1.42999999999999,0
800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-9.65999072932121e-15,9.79760101295719e-15,-263.277315147598,-3.89399999999999,1.42999999999999,0
900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.09712806137446e-14,1.10329782537257e-14,-263.277315146976,-3.89399999999999,1.42999999999999,0
1000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.7368331617824e-14,1.27915340877886e-14,-263.277315146976,-3.89399999999998,1.42999999999999,0
1100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.37653826219034e-14,1.45500899218514e-14,-263.277315146976,-3.89399999999998,1.42999999999999,0
1200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.01624336259828e-14,1.63086457559143e-14,-263.277315146976,-3.89399999999997,1.42999999999998,0
1300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.65594846300622e-14,1.80672015899771e-14,-263.277315146976,-3.89399999999996,1.42999999999998,0
1400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.29565356341415e-14,1.982575742404e-14,-263.277315146976,-3.89399999999996,1.42999999999998,0
1500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.93535866382209e-14,2.15843132581029e-14,-263.277315146976,-3.89399999999995,1.42999999999998,0
1600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.57506376423003e-14,2.33428690921657e-14,-263.277315146976,-3.89399999999994,1.42999999999998,0
1700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.21476886463797e-14,2.51014249262286e-14,-263.277315146976,-3.89399999999994,1.42999999999997,0
1800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.802536750165e-14,2.66725925683365e-14,-263.277315146976,-3.89399999999993,1.42999999999997,0
1900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.14381147855033e-14,2.3746443603526e-14,-263.277315146976,-3.89399999999994,1.42999999999998,0
2000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.48508620693567e-14,2.08202946387154e-14,-263.277315146976,-3.89399999999995,1.42999999999998,0
2100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.826360935321e-14,1.78941456739049e-14,-263.277315146976,-3.89399999999995,1.42999999999998,0
2200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.16763566370633e-14,1.49679967090944e-14,-263.277315146976,-3.89399999999996,1.42999999999999,0
2300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.50891039209167e-14,1.20418477442838e-14,-263.277315146976,-3.89399999999997,1.42999999999999,0
2400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.850185120477e-14,9.11569877947331e-15,-263.277315146976,-3.89399999999997,1.42999999999999,0
2500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.19145984886233e-14,6.18954981466278e-15,-263.277315146976,-3.89399999999998,1.42999999999999,0
2600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.53273457724767e-14,3.26340084985224e-15,-263.277315146976,-3.89399999999998,1.43,0
2700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-8.9109397034313e-15,9.18347532914015e-16,-263.277315146976,-3.89399999999999,1.43,0
2800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.17113110563981e-15,7.67712603264155e-15,-263.277315146976,-3.89399999999999,1.42999999999999,0
2900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.4313225078483e-15,1.44359045323691e-14,-263.277315146976,-3.894,1.42999999999999,0
3000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,2.3084860899432e-15,2.11946830320967e-14,-263.277315146976,-3.894,1.42999999999998,0
3100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,6.04829468773471e-15,2.79534615318242e-14,-263.277315146976,-3.89400000000001,1.42999999999997,0
3200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,9.78810328552622e-15,3.47122400315518e-14,-263.277315146976,-3.89400000000001,1.42999999999997,0
3300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.35279118833177e-14,4.14710185312793e-14,-263.277315146976,-3.89400000000001,1.42999999999996,0
3400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.72677204811092e-14,4.82297970310069e-14,-263.277315146976,-3.89400000000002,1.42999999999995,0
