time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-263.277315152675,-1.23052771143074,-0.810710316902779,5.69900748814689e-09
100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.43433822298021e-16,2.43635752391555e-15,-263.277315151858,-1.265,-0.811000000000002,4.8819970288605e-09
200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.28686764459604e-15,4.87271504783109e-15,-263.277315151042,-1.265,-0.811000000000005,4.0660097511136e-09
300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.93030146689406e-15,7.30907257174664e-15,-263.277315150225,-1.265,-0.811000000000007,3.2489992918272e-09
400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.57373528919209e-15,9.74543009566219e-15,-263.277315149409,-1.19258414420968,-0.882208924860485,2.4330120140803e-09
500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.21716911149011e-15,1.21817876195777e-14,-263.277315148592,-1.14530506785047,-0.892696925793703,0
600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.86060293378813e-15,1.46181451434933e-14,-263.277315147776,-1.14602129244112,-0.807444907064927,0
700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.43547344953153e-15,1.71008762383783e-14,-263.277315146976,-1.14669616544933,-0.726460146079707,0
800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.65074194409854e-15,2.18559123107677e-14,-263.277315146976,-1.1473800409078,-0.599550263943102,0
900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.13398956133444e-15,2.66109483831571e-14,-263.277315146976,-1.14785614872101,-0.477749378938595,0
1000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,3.91872106676742e-15,3.13659844555465e-14,-263.277315146976,-1.14646129327211,-0.727428504293401,0
1100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,6.70345257220041e-15,3.61210205279359e-14,-263.277315146976,-1.20097992611544,-0.81046201618588,0
1200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,9.48818407763339e-15,4.08760566003253e-14,-263.277315146976,-1.2444701326019,-0.810827480105939,0
1300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.22729155830664e-14,4.56310926727147e-14,-263.277315146976,-1.15143235241909,-0.810045650020374,0
1400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.49246296333899e-14,4.99940929752961e-14,-263.277315146976,-1.14600000000001,-0.81000000000005,0
1500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.43839247610853e-14,4.49482348024867e-14,-263.277315146976,-1.1463519624156,-0.76776451013022,0
1600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.38432198887807e-14,3.99023766296772e-14,-263.277315146976,-1.14694614801896,-0.696462237726026,0
1700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,1.33025150164762e-14,3.48565184568678e-14,-263.277315146976,-1.14626118787742,-0.778657454710892,0
