run_id,vision_time,frame_id,marker_id,marker_px,marker_py,marker_detected,valid
2026-06-04_run00_cpre_001,1780657772.108373,0,10,639.250,359.750,True,True
2026-06-04_run00_cpre_001,1780657772.252388,1,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657772.399914,2,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657772.529959,3,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657772.668009,4,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657772.813388,5,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657772.956014,6,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657773.101296,7,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657773.245533,8,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657773.389764,9,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657773.517093,10,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657773.660654,11,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657773.809417,12,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657773.955038,13,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657774.092305,14,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657774.237993,15,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657774.386325,16,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657774.514915,17,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657774.657988,18,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657774.796851,19,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657774.943685,20,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657775.084479,21,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657775.228355,22,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657775.377254,23,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657775.506277,24,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657775.649696,25,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657775.792927,26,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657775.932046,27,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657776.077742,28,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657776.223893,29,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657776.369895,30,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657776.498062,31,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657776.636225,32,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657776.779767,33,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657776.929284,34,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657777.068882,35,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657777.218238,36,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657777.362132,37,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657777.490469,38,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657777.634375,39,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657777.774330,40,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657777.921410,41,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657778.061139,42,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657778.205263,43,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657778.350435,44,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657778.476796,45,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657778.620783,46,10,639.250,359.500,True,True
